RunTime	DBNAME	ObjectName	ObjectID	Improvement_Measure	CREATE_INDEX_Statement	user_seeks	user_scans	last_user_seek	last_user_scan	avg_total_user_cost	avg_user_impact	avg_system_impact	index_group_handle	index_handle
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	599.0	CREATE INDEX missing_index_27206_27205 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([ID], [DocumentID], [ActiveDate])	12	0	2017-03-14 16:55:00.803	NULL	1.06184269837673	47.01	0	27206	27205
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	576.6	CREATE INDEX missing_index_9221_9220 ON [QPulse5].[dbo].[Revision] ([StatusID],[OwnerPersonID]) INCLUDE ([ID], [DocumentID])	11	0	2017-03-02 11:56:35.497	NULL	1.1132084996736	47.09	0	9221	9220
2017-03-18 13:21:02.023	QPulse5	TrainingEvent	519672899	573.1	CREATE INDEX missing_index_772_771 ON [QPulse5].[dbo].[TrainingEvent] ([CompletedDate], [EvaluationsRequired]) INCLUDE ([ID])	29	0	2017-03-17 14:44:54.293	NULL	0.221630292975734	89.17	0	772	771
2017-03-18 13:21:02.023	QPulse5	ReferenceListItem	1332199796	568.4	CREATE INDEX missing_index_3060_3059 ON [QPulse5].[dbo].[ReferenceListItem] ([ListTypeID]) INCLUDE ([CalculatedPath])	2	0	2017-02-23 15:04:33.380	NULL	2.91918589276887	97.35	0	3060	3059
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	487.3	CREATE INDEX missing_index_47386_47385 ON [QPulse5].[dbo].[OccurrenceIncident] ([ClosedDate],[ReportTypeID])	11	0	2017-03-07 23:34:29.223	NULL	0.517038209850449	85.68	0	47386	47385
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncidentStage	1236199454	418.7	CREATE INDEX missing_index_21829_21828 ON [QPulse5].[dbo].[OccurrenceIncidentStage] ([StageTypeID]) INCLUDE ([IncidentID])	26	0	2017-03-17 11:30:49.967	NULL	1.12214059323135	14.35	0	21829	21828
2017-03-18 13:21:02.023	QPulse5	Audit	885578193	371.9	CREATE INDEX missing_index_799_798 ON [QPulse5].[dbo].[Audit] ([Number],[ID])	51	0	2017-03-16 11:28:54.320	NULL	0.0767896194625998	94.96	0	799	798
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	368.0	CREATE INDEX missing_index_9219_9218 ON [QPulse5].[dbo].[Revision] ([StatusID],[OwnerPersonID]) INCLUDE ([DocumentID])	7	0	2017-03-02 11:56:34.927	NULL	0.940396331655281	55.9	0	9219	9218
2017-03-18 13:21:02.023	QPulse5	Person	2137058649	363.8	CREATE INDEX missing_index_375_374 ON [QPulse5].[dbo].[Person] ([IsDeleted]) INCLUDE ([ID])	24	0	2017-03-16 09:49:08.347	NULL	0.725301357727908	20.9	0	375	374
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	300.8	CREATE INDEX missing_index_21262_21261 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([ID], [ActiveDate])	6	0	2017-03-14 16:52:53.113	NULL	0.658032042183648	76.19	0	21262	21261
2017-03-18 13:21:02.023	QPulse5	ySupplier	533576939	300.3	CREATE INDEX missing_index_1085_1084 ON [QPulse5].[dbo].[ySupplier] ([IsVisible]) INCLUDE ([ID], [Name], [ReferenceNumber])	40	0	2017-03-17 11:47:14.210	NULL	0.136618533341135	54.95	0	1085	1084
2017-03-18 13:21:02.023	QPulse5	Person	2137058649	295.5	CREATE INDEX missing_index_465_464 ON [QPulse5].[dbo].[Person] ([IsDeleted]) INCLUDE ([ID], [FirstName], [MiddleName], [LastName], [FullName], [Number])	21	0	2017-03-15 09:07:12.457	NULL	0.771512586715782	18.24	0	465	464
2017-03-18 13:21:02.023	QPulse5	CopyHolder	117575457	277.0	CREATE INDEX missing_index_570_569 ON [QPulse5].[dbo].[CopyHolder] ([NotifiedDate],[PersonID])	23	0	2017-03-17 14:23:30.647	NULL	0.772888358838822	15.58	0	570	569
2017-03-18 13:21:02.023	QPulse5	Incident	405576483	263.1	CREATE INDEX missing_index_4254_4253 ON [QPulse5].[dbo].[Incident] ([StatusID]) INCLUDE ([ID], [IncidentSourceTypeID], [NumberSort])	3	0	2017-03-07 09:04:55.490	NULL	1.40077968822456	62.61	0	4254	4253
2017-03-18 13:21:02.023	QPulse5	MessageGotoCondition	1086626914	261.1	CREATE INDEX missing_index_30_29 ON [QPulse5].[dbo].[MessageGotoCondition] ([Created]) INCLUDE ([ID])	29	0	2017-03-18 12:33:08.247	NULL	0.114643993753975	78.52	0	30	29
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	260.5	CREATE INDEX missing_index_26512_26511 ON [QPulse5].[dbo].[OccurrenceIncident] ([EventDate], [PriorityID])	6	0	2017-02-28 14:40:23.817	NULL	0.440289141485394	98.61	0	26512	26511
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	238.4	CREATE INDEX missing_index_69036_69035 ON [QPulse5].[dbo].[OccurrenceIncident] ([ReportTypeID]) INCLUDE ([ID], [NumberSort])	6	0	2017-03-15 14:45:15.477	NULL	0.501020062472017	79.31	0	69036	69035
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	218.9	CREATE INDEX missing_index_74300_74299 ON [QPulse5].[dbo].[OccurrenceIncident] ([StatusID],[ClosedDate], [PriorityID])	5	0	2017-03-17 09:33:53.560	NULL	0.443174561077369	98.78	0	74300	74299
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	217.5	CREATE INDEX missing_index_36760_36759 ON [QPulse5].[dbo].[OccurrenceIncident] ([StatusID], [ReportTypeID]) INCLUDE ([ID], [OwnerPersonID])	5	0	2017-03-03 14:37:44.143	NULL	0.60650309462134	71.73	0	36760	36759
2017-03-18 13:21:02.023	QPulse5	Person	2137058649	215.1	CREATE INDEX missing_index_9603_9602 ON [QPulse5].[dbo].[Person] ([UserName],[ID])	14	0	2017-03-16 11:10:39.440	NULL	0.157493836031746	97.55	0	9603	9602
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	204.1	CREATE INDEX missing_index_52422_52421 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID]) INCLUDE ([ID], [DocumentID], [Title], [Keywords])	4	0	2017-03-09 13:20:26.523	NULL	0.615162610815561	82.95	0	52422	52421
2017-03-18 13:21:02.023	QPulse5	ySupplier	533576939	176.8	CREATE INDEX missing_index_6926_6925 ON [QPulse5].[dbo].[ySupplier] ([AccountManagerID],[IsVisible], [ReviewDate]) INCLUDE ([ID])	23	0	2017-03-15 10:36:50.613	NULL	0.0934076138180047	82.29	0	6926	6925
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	175.6	CREATE INDEX missing_index_26514_26513 ON [QPulse5].[dbo].[OccurrenceIncident] ([EventDate], [PriorityID]) INCLUDE ([ID], [NumberSort])	5	0	2017-02-28 14:40:24.023	NULL	0.45208295536921	77.7	0	26514	26513
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	173.6	CREATE INDEX missing_index_30066_30065 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([DocumentID], [RevisionReference], [Title], [Keywords])	4	0	2017-03-01 13:17:11.067	NULL	0.78687465612733	55.14	0	30066	30065
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	173.4	CREATE INDEX missing_index_69034_69033 ON [QPulse5].[dbo].[OccurrenceIncident] ([ReportTypeID])	4	0	2017-03-15 14:45:15.433	NULL	0.438974482411096	98.77	0	69034	69033
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	159.9	CREATE INDEX missing_index_36755_36754 ON [QPulse5].[dbo].[OccurrenceIncident] ([StatusID], [ReportTypeID]) INCLUDE ([ID], [NumberSort])	4	0	2017-03-03 14:36:50.313	NULL	0.509965244123452	78.41	0	36755	36754
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	140.4	CREATE INDEX missing_index_23917_23916 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([Title])	3	0	2017-02-28 08:49:05.630	NULL	0.662004714813597	70.68	0	23917	23916
