"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Transfer"
"03/18/2017 09:52:55.475","0","0","0","0","0","0.0010052459043871978","0","0","0","0","0.0010052459043871978","0","0","0","0"
"03/18/2017 09:52:57.475","0","0","0","0","0","0.00099271131121291315","0","0","0","0.0011000001396825575","0.00099271131121291315","0","0","0","0.0011000001396825575"
"03/18/2017 09:52:59.475","0","0","0","0","0","0.00071885548377399907","0","0","0","0","0.00071885548377399907","0","0","0","0"
"03/18/2017 09:53:01.475","0","0","0","0","0","0.00074877420670558278","0","0","0","0.0010000339894223056","0.00074877420670558278","0","0","0","0.0010000339894223056"
"03/18/2017 09:53:03.474","0","0","0","0","0","0.00082976889149464594","0","0","0","0","0.00082976889149464594","0","0","0","0"
"03/18/2017 09:53:03.476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:53:05.475","0","0","0","0","0","0.0008108910304303825","0","0","0","0","0.0008108910304303825","0","0","0","0"
"03/18/2017 09:53:07.475","0","0","0","0","0","0.00077656440672314603","0","0","0","0.00081426949115440247","0.00077656440672314603","0","0","0","0.00081426949115440247"
"03/18/2017 09:53:09.475","0","0","0","0","0","0.00072298835429056036","0","0","0","0.00079996200634438171","0.00072298835429056036","0","0","0","0.00079996200634438171"
"03/18/2017 09:53:11.475","0","0","0","0","0","0.00071160177974742675","0","0","0","0.00080010168890180182","0.00071160177974742675","0","0","0","0.00080010168890180182"
